Number,Facing,Comments,Wing,Hostel
118,Outside,,GT4,AH-3
119,Inside,,GT4,AH-3
120,Outside,,GT4,AH-3
201,Outside,,FT1,AH-3
202,Inside,,FT1,AH-3
203,Outside,,FT1,AH-3
204,Inside,,FT1,AH-3
205,Outside,,FT1,AH-3
206,Outside,,FT2,AH-3
207,Outside,,FT2,AH-3
208,Outside,,FT2,AH-3
209,Inside,,FT2,AH-3
210,Outside,,FT3,AH-3
211,Outside,,FT3,AH-3
212,Inside,,FT3,AH-3
213,Outside,,FT3,AH-3
214,Inside,,FT3,AH-3
215,Outside,,FT4,AH-3
216,Outside,,FT4,AH-3
217,Outside,,FT4,AH-3
218,Outside,,FT4,AH-3
219,Inside,,FT4,AH-3
220,Outside,,FT4,AH-3
301,Outside,,ST1,AH-3
302,Inside,,ST1,AH-3
303,Outside,,ST1,AH-3
304,Inside,,ST1,AH-3
305,Outside,,ST1,AH-3
306,Outside,,ST2,AH-3
307,Outside,,ST2,AH-3
308,Outside,,ST2,AH-3
309,Inside,,ST2,AH-3
310,Outside,,ST2,AH-3
311,Outside,,ST3,AH-3
312,Inside,,ST3,AH-3
313,Outside,,ST3,AH-3
314,Inside,,ST3,AH-3
315,Outside,,ST3,AH-3
316,Outside,,ST4,AH-3
317,Outside,,ST4,AH-3
318,Outside,,ST4,AH-3
319,Inside,,ST4,AH-3
320,Outside,,ST4,AH-3
101,Outside,,GT1,AH-4
102,Inside,,GT1,AH-4
103,Outside,,GT1,AH-4
104,Inside,,GT1,AH-4
105,Outside,,GT1,AH-4
106,Outside,,GT2,AH-4
107,Outside,,GT2,AH-4
108,Outside,,GT2,AH-4
109,Inside,,GT2,AH-4
110,Outside,,GT2,AH-4
111,Outside,,GT3,AH-4
112,Inside,,GT3,AH-4
113,Outside,,GT3,AH-4
114,Inside,,GT3,AH-4
115,Outside,,GT3,AH-4
116,Outside,,GT4,AH-4
117,Outside,,GT4,AH-4
118,Outside,,GT4,AH-4
119,Inside,,GT4,AH-4
120,Outside,,GT4,AH-4
201,Outside,,FT1,AH-4
202,Inside,,FT1,AH-4
203,Outside,,FT1,AH-4
204,Inside,,FT1,AH-4
205,Outside,,FT1,AH-4
206,Outside,,FT2,AH-4
207,Outside,,FT2,AH-4
208,Outside,,FT2,AH-4
209,Inside,,FT2,AH-4
210,Outside,,FT3,AH-4
211,Outside,,FT3,AH-4
212,Inside,,FT3,AH-4
213,Outside,,FT3,AH-4
214,Inside,,FT3,AH-4
215,Outside,,FT4,AH-4
216,Outside,,FT4,AH-4
217,Outside,,FT4,AH-4
218,Outside,,FT4,AH-4
219,Inside,,FT4,AH-4
220,Outside,,FT4,AH-4
301,Outside,,ST1,AH-4
302,Inside,,ST1,AH-4
303,Outside,,ST1,AH-4
304,Inside,,ST1,AH-4
305,Outside,,ST1,AH-4
306,Outside,,ST2,AH-4
307,Outside,,ST2,AH-4
308,Outside,,ST2,AH-4
309,Inside,,ST2,AH-4
310,Outside,,ST2,AH-4
311,Outside,,ST3,AH-4
312,Inside,,ST3,AH-4
313,Outside,,ST3,AH-4
314,Inside,,ST3,AH-4
315,Outside,,ST3,AH-4
316,Outside,,ST4,AH-4
317,Outside,,ST4,AH-4
318,Outside,,ST4,AH-4
319,Inside,,ST4,AH-4
320,Outside,,ST4,AH-4
